size,msg,repetition,time
10,100,61,2448702455
10,100,62,2450424174
10,100,63,2473062903
10,100,64,2592856611
10,100,65,2618722001
10,100,66,2533656588
10,100,67,2592994885
10,100,68,3096196379
10,100,69,2821907614
10,100,70,2584473282
10,100,71,2595020244
10,100,72,2540237079
10,100,73,2520146080
10,100,74,2541196619
10,100,75,2512819021
10,100,76,2356501142
10,100,77,2328166414
10,100,78,2394276532
10,100,79,2602328108
10,100,80,2553442816
10,100,81,2384120075
10,100,82,2735411910
10,100,83,2426505007
10,100,84,2440119882
10,100,85,2490357486
10,100,86,2484050476
10,100,87,2527390499
10,100,88,2271536434
10,100,89,2697232700
10,100,90,2671193779
10,100,91,2471553383
10,100,92,2434711659
10,100,93,2379835261
10,100,94,2668452144
10,100,95,2347643407
10,100,96,2418441548
10,100,97,2336740638
10,100,98,2348357921
10,100,99,2530393378
100,1,0,48642304
100,1,1,43169832
100,1,2,26506914
100,1,3,26991573
100,1,4,25414936
100,1,5,26465066
100,1,6,34038271
100,1,7,28615753
100,1,8,48442994
100,1,9,56207119
100,1,10,23346946
100,1,11,23673622
100,1,12,26950304
100,1,13,121722555
100,1,14,32013009
100,1,15,29804372
100,1,16,25634287
100,1,17,39079359
100,1,18,132988288
100,1,19,23687112
100,1,20,61862952
100,1,21,24208870
100,1,22,50221705
100,1,23,52417623
100,1,24,30394719
100,1,25,42934453
100,1,26,26395158
100,1,27,29112772
100,1,28,27385045
100,1,29,27739453
100,1,30,25041387
100,1,31,31171478
100,1,32,30184765
100,1,33,27047247
100,1,34,25771309
100,1,35,25321088
100,1,36,27706387
100,1,37,27777419
100,1,38,89150487
100,1,39,30090882
100,1,40,26684563
100,1,41,58570028
100,1,42,28526974
100,1,43,58576069
100,1,44,28951229
100,1,45,29629370
100,1,46,31264651
100,1,47,34747517
100,1,48,33873234
100,1,49,26355994
100,1,50,30665157
100,1,51,40445095
100,1,52,57638904
100,1,53,28435966
100,1,54,53073428
100,1,55,29450427
100,1,56,28413810
100,1,57,47483776
100,1,58,28577560
100,1,59,43243988
100,1,60,31520874
100,1,61,31904315
100,1,62,27156345
100,1,63,40719118
100,1,64,30764937
100,1,65,53263132
100,1,66,44339642
100,1,67,37691347
100,1,68,25685222
100,1,69,30293131
100,1,70,27101783
100,1,71,27697955
100,1,72,90345150
100,1,73,25791367
100,1,74,45128699
100,1,75,29951034
100,1,76,26231440
100,1,77,25124063
100,1,78,25557331
100,1,79,32312313
100,1,80,47913165
100,1,81,26148832
100,1,82,25816655
100,1,83,25598409
100,1,84,26969241
100,1,85,43254371
