,size,time
swap_time,4194304,183283467
swap_time,4194304,109461539
swap_time,4194304,165089936
swap_time,4194304,150033715
swap_time,4194304,162737540
swap_time,4194304,129393046
swap_time,4194304,144402531
swap_time,4194304,171562185
swap_time,4194304,177385634
swap_time,4194304,117665962
swap_time,4194304,161135578
swap_time,4194304,138037004
swap_time,4194304,128776318
swap_time,4194304,181800453
swap_time,4194304,165254283
swap_time,4194304,160350756
swap_time,4194304,143360917
swap_time,4194304,121831900
swap_time,4194304,349022535
swap_time,4194304,148080942
swap_time,4194304,163561278
swap_time,4194304,162261960
swap_time,4194304,171617208
swap_time,4194304,149122191
swap_time,8388608,148289170
swap_time,8388608,141728506
swap_time,8388608,165028145
swap_time,8388608,243854097
swap_time,8388608,212975504
swap_time,8388608,213272363
swap_time,8388608,207457833
swap_time,8388608,186901283
swap_time,8388608,149113158
swap_time,8388608,342823470
swap_time,8388608,134631085
swap_time,8388608,181279000
swap_time,8388608,187059840
swap_time,8388608,160440432
swap_time,8388608,321229746
swap_time,8388608,181289599
swap_time,8388608,243455499
swap_time,8388608,183459006
swap_time,8388608,206241246
swap_time,8388608,236282197
swap_time,8388608,183664526
swap_time,8388608,197668413
swap_time,8388608,202846179
swap_time,8388608,167301014
swap_time,8388608,216553478
swap_time,8388608,158526830
swap_time,8388608,178905616
swap_time,8388608,125921002
swap_time,8388608,179898592
swap_time,8388608,157832657
swap_time,8388608,143893772
swap_time,8388608,227970985
swap_time,8388608,178215582
swap_time,8388608,155073935
swap_time,8388608,245298107
swap_time,8388608,161633640
swap_time,8388608,201854510
swap_time,8388608,184238916
swap_time,8388608,152460813
swap_time,8388608,526634154
swap_time,8388608,227374694
swap_time,8388608,271264600
swap_time,8388608,178535874
swap_time,8388608,291930969
swap_time,8388608,244199699
swap_time,8388608,130021431
swap_time,8388608,144786182
swap_time,8388608,175599095
swap_time,8388608,758780650
swap_time,8388608,198757320
swap_time,8388608,218805799
swap_time,8388608,221623374
swap_time,10485760,156746901
swap_time,10485760,504305876
swap_time,10485760,296439977
swap_time,10485760,131113895
swap_time,10485760,123621643
swap_time,10485760,298291399
swap_time,10485760,78076173
swap_time,10485760,179120222
swap_time,10485760,175460483
swap_time,10485760,188747748
swap_time,10485760,132373264
swap_time,10485760,129797739
swap_time,10485760,145357967
swap_time,10485760,236954443
swap_time,10485760,131046378
swap_time,10485760,135730306
swap_time,10485760,345955836
swap_time,10485760,303612124
swap_time,10485760,134166020
swap_time,10485760,146434284
swap_time,10485760,150305199
swap_time,10485760,309843935
swap_time,10485760,169606789
swap_time,10485760,221937176
swap_time,10485760,234440247
swap_time,10485760,136059613
swap_time,10485760,130246952
swap_time,10485760,208450247
swap_time,10485760,293129473
swap_time,10485760,314899732
swap_time,10485760,190593543
swap_time,10485760,156076078
swap_time,10485760,258071381
swap_time,10485760,260453065
swap_time,10485760,184150963
swap_time,10485760,189125145
swap_time,10485760,178016550
swap_time,10485760,292359965
swap_time,10485760,182426552
swap_time,10485760,156111566
swap_time,10485760,165341839
swap_time,10485760,359119120
swap_time,10485760,130542966
swap_time,10485760,183100170
swap_time,10485760,142694914
swap_time,10485760,184481992
swap_time,10485760,139612574
swap_time,10485760,235061743
swap_time,10485760,240615303
swap_time,10485760,556663247
swap_time,10485760,158346788
swap_time,10485760,235269054
